Designator,Footprint,Quantity,Value,LCSC Part #
BT1,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,JST,
BZ1,buzzer_8.5x8.5,1,Buzzer,
"C1, C10, C11, C16, C18, C21, C23, C5, C6, C7, C8",0603,11,100nF,
"C12, C13",0603,2,22uF,
C14,0603,1,75pF,
"C15, C17",CP_Elec_6.3x5.4,2,22uF,
C19,0603,1,10uF,
"C2, C3",0603,2,12pF,
"C20, C22",CP_Elec_8x10.5,2,470uF,
C4,0603,1,4.7uF,
C9,CP_Elec_4x5.4,1,10uF,
"D1, D3",0603,2,RED,
"D10, D11, D12, D5, D6, D7, D8, D9",SMA(DO-214AC),8,SS36,
D2,0603,1,GREEN,
D4,D_SOD123,1,RS1MFA,
J1,PinHeader_1x06_P2.54mm_Vertical,1,Dupont,
J2,PinHeader_1x04_P2.54mm_Vertical,1,Dupont,
J3,Pin_02x04,1,Dupont,
"J4, J5, J6",JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,3,JST,
L1,Inductor_octogone,1,10uH,
M1,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,LEFT,
M2,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,RIGHT,
"Q1, Q2, Q7, Q8",TO-220-3_Vertical,4,FQP27P06,
"Q10, Q3, Q4, Q9",SOT-23,4,AO3400A,
"Q11, Q12, Q5, Q6",TO-92_Inline,4,2N3904,
R1,0603,1,680,
R10,0603,1,43.2K,
R11,0603,1,5.76K,
R12,0603,1,1,
"R13, R14, R2, R21, R22, R29, R30",0603,7,10K,
"R15, R16, R23, R24",0603,4,1K,
"R17, R18, R25, R26",0603,4,47,
"R19, R20, R27, R28, R6, R7",0603,6,4.7K,
"R3, R4",0603,2,330,
R5,0603,1,?,
R8,0603,1,511K,
R9,0603,1,105K,
SD1,SD_SLOT,1,SD Card Slot,
SW1,SW_Tactile3x2.5,1,SW_Push,
U1,TQFP-32_7x7mm_P0.8mm,1,ATmega328P-A,
U2,TSOT-23-6_HandSoldering,1,TPS54302,
U3,SOT-223-3_TabPin2,1,AMS1117-3.3,
Y1,crys_osc_smd3225_4,1,16MHz,
